"Trane XV20i TruComfort Variable Speed, Model 4TTV0024A",22,24000
"Trane XV20i TruComfort Variable Speed, Model 4TTV0036A",22,36000
"Trane XV20i TruComfort Variable Speed, Model 4TTV0048A",22,48000
"Trane XV20i TruComfort Variable Speed, Model 4TTV0060A",22,60000
"Trane XV18 TruComfort Variable Speed, Model 4TTV8024A        ",18,24000
"Trane XV18 TruComfort Variable Speed, Model 4TTV8036A",18,36000
"Trane XV18 TruComfort Variable Speed, Model 4TTV8048A",18,48000
"Trane XV18 TruComfort Variable Speed, Model 4TTV8060A",18,60000
"Trane XL18i, Model 4TTX8024A       ",18,24000
"Trane XL18i, Model 4TTX8036A       ",18,36000
"Trane XL18i, Model 4TTX8048A       ",18,48000
"Trane XL18i, Model 4TTX8060A       ",18,60000
"Trane XL16i, Model 4TTX6018J",16.5,18000
"Trane XL16i, Model 4TTX6024J",16.5,24000
"Trane XL16i, Model 4TTX6030J",16.5,30000
"Trane XL16i, Model 4TTX6036J",16.5,36000
"Trane XL16i, Model 4TTX6042J",16.5,42000
"Trane XL16i, Model 4TTX6048J",16.5,48000
"Trane XL16i, Model 4TTX6049J",16.5,48000
"Trane XL16i, Model 4TTX6060J",16.5,57500
"Trane XL16i, Model 4TTX6061J",16.5,60000
"Trane XR17, Model 4TTR7024A",18,24000
"Trane XR17, Model 4TTR7036A",18,36000
"Trane XR17, Model 4TTR7048A",18,48000
"Trane XR17, Model 4TTR7060A",18,60000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6018J",17,18000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6024J",17,24000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6030J",17,30000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6036J",17,36000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6042J",17,42000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6048J",17,47000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6049J",17,48000
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6060J",17,57500
"Trane XR16 Central Air Systems (R-410A refrigerant), Model 4TTR6061J",17,60000
Mitsubishi MUY-GL09NA-U1,24.6,9000
Mitsubishi MUY-GL12NA-U1,23.1,12000
Mitsubishi MUY-GL15NA-U1,21.6,14000
Mitsubishi MUY-GL18NA-U1,20.5,18000
Mitsubishi MUY-GL24NA-U1,20.5,225000
Mitsubishi MUY-D30NA-1,16,30700
Mitsubishi MUY-D36NA-1,15.1,34600
Mitsubishi PUY-A12NKA7,21.1,12000
Mitsubishi PUY-A18NKA7,19.9,18000
Mitsubishi PUY-A24NHA7,21.2,24000
Mitsubishi PUY-A30NHA7,19.6,30000
Mitsubishi PUY-A36NKA7,19.1,36000
Mitsubishi PUY-A42NKA7,17.6,42000
